,,,,,,
Keywords,Volume,Domestic (25-June-19),Mobile (25-June-19),Target (Desktop),Target (Mobile),
mumbai to delhi flights,"60,500",3,3,2,2,
delhi to goa flights,"60,500",7,7,5,6,
delhi to mumbai flights,60500,8,8,6,7,
bangalore to delhi flights,49500,5,5,4,4,
delhi to bangalore flights,40500,6,6,4,5,
mumbai to goa flights,"33,100",2,2,1,1,
mumbai to bangalore flights,33100,3,4,2,3,
delhi to pune flights,33100,3,3,2,2,
delhi to patna flights,33100,4,4,3,3,
bangalore to mumbai flights,27100,3,4,2,3,
chennai to delhi flights,27100,3,3,2,2,
kolkata to delhi flights,27100,4,4,3,3,
ahmedabad to delhi flights,27100,5,5,4,4,
delhi to kolkata flights,27100,5,3,4,2,
bangalore to hyderabad flights,22200,2,2,1,1,
mumbai to kolkata flights,22200,3,3,2,2,
hyderabad to delhi flights,22200,3,3,2,2,
bangalore to pune flights,22200,4,4,3,3,
delhi to chennai flights,22200,4,3,3,2,
delhi to hyderabad flights,22200,4,4,3,3,
delhi to ahmedabad flights,22200,4,4,3,3,
hyderabad to bangalore flights,18100,4,4,3,3,
delhi to lucknow flights,18100,4,4,3,3,
chennai to mumbai flights,18100,4,4,3,3,
mumbai to jaipur flights,18100,5,4,4,3,
mumbai to dubai flights,18100,2,2,1,1,
delhi to dubai flights,18100,5,5,4,4,
pune to chennai flights,14800,2,4,1,3,
mumbai to hyderabad flights,14800,3,4,2,3,
delhi to ranchi flights,14800,4,4,3,3,
delhi to guwahati flights,14800,4,4,3,3,
chennai to coimbatore flights,14800,4,4,3,3,
chennai to madurai flights,14800,4,4,3,3,
lucknow to delhi flights,14800,4,4,3,3,
kolkata to mumbai flights,14800,4,4,3,3,
coimbatore to chennai flights,14800,4,4,3,3,
pune to ahmedabad flights,14800,4,4,3,3,
ranchi to delhi flights,"14,800",5,5,4,4,
kolkata to bangalore flights,14800,5,5,4,4,
mumbai to lucknow flights,14800,5,6,4,5,
hyderabad to goa flights,12100,3,4,2,3,
chennai to kolkata flights,12100,4,4,3,3,
mumbai to indore flights,12100,4,4,3,3,
ahmedabad to pune flights,12100,4,4,3,3,
pune to hyderabad flights,12100,4,4,3,3,
delhi to srinagar flights,12100,5,5,4,4,
hyderabad to chennai flights,12100,5,5,4,4,
delhi to amritsar flights,12100,6,6,5,5,
bangalore to shirdi flights,12100,15,15,10,10,
delhi to shirdi flights,12100,28,28,10,10,
delhi to singapore flights,12100,2,2,1,1,
jammu to srinagar flights,9900,2,2,1,1,
delhi to bangkok flights,9900,2,3,1,2,
delhi to london flights,8100,3,3,2,2,
chennai to ahmedabad flights,6600,4,4,3,3,
delhi to toronto flights,5400,5,5,4,4,
kolkata to agartala flights,4400,4,4,3,3,
hyderabad to lucknow flights,4400,5,4,4,3,
bangalore to singapore flights,4400,3,3,2,2,
hyderabad to rajahmundry flights,3600,5,5,4,4,
bangalore to bhopal flights,3600,5,5,4,4,
delhi to new york flights,3600,5,5,4,4,
delhi to paris flights,3600,5,5,4,4,
pune to ranchi flights,2900,15,15,14,14,
chennai to bangkok flights,2900,2,2,1,1,
bangalore to bangkok flights,2900,2,2,1,1,
mumbai to paris flights,2900,3,3,2,2,
delhi to hong kong flights,2900,4,3,3,2,
mumbai to toronto flights,2400,4,5,3,4,
delhi to melbourne flights,2400,5,5,4,4,
delhi to amsterdam flights,2400,5,5,4,4,
delhi to moscow flights,2400,5,5,4,4,
mumbai to kathmandu flights,1900,2,2,1,1,
bangkok to phuket flights,1900,4,4,2,3,
bangalore to london flights,1900,4,4,2,3,
delhi to phuket flights,1900,5,5,4,4,
kolkata to london flights,1900,5,5,4,4,
new delhi to hyderabad flights,1600,4,4,3,3,
delhi to rome flights,1600,4,4,3,3,
delhi to istanbul flights,1600,4,4,3,3,
delhi to vancouver flights,1600,4,3,3,2,
new delhi to dubai flights,1600,5,5,4,4,
delhi to kuala lumpur flights,1300,4,3,3,2,
delhi to tokyo flights,1300,4,4,3,3,
ahmedabad to toronto flights,1300,5,5,4,4,
london to mumbai flights,1000,4,4,3,3,
lucknow to dubai flights,1000,5,5,3,4,
mumbai to phuket flights,1000,5,5,4,4,
delhi to auckland flights,1000,6,6,5,5,
amritsar to singapore flights,1000,6,6,5,5,
