Keywords,Search Volume,Initial Ranking (D),RW,Tajawal Ranking,Target,Target (D),Initial Ranking (M),Tajawal Ranking,Target,Target (M)
emirates,368000,12,12,100,Improve by 30%,8.4,11,100,Improve by 30%,7.7
air india express,368000,3,1,4,Improve by 30%,2.1,3,4,Improve by 30%,2.1
air arabia,368000,2,1,5,Improve by 30%,1.4,2,5,Improve by 30%,1.4
flydubai,301000,2,1,100,Improve by 30%,1.4,2,43,Improve by 30%,1.4
emirates airline,246000,3,5,12,Improve by 30%,2.1,2,12,Improve by 30%,1.4
emirates airlines,246000,3,3,11,Improve by 30%,2.1,2,11,Improve by 30%,1.4
air india,165000,3,1,6,Improve by 30%,2.1,3,5,Improve by 30%,2.1
etihad airways,135000,4,3,100,Improve by 30%,2.8,7,100,Improve by 30%,4.9
etihad,135000,16,3,100,Improve by 30%,11.2,14,100,Improve by 30%,9.8
etihad airline,135000,5,3,100,Improve by 30%,3.5,5,100,Improve by 30%,3.5
air blue,110000,2,1,4,Improve by 30%,1.4,2,4,Improve by 30%,1.4
cebu pacific,110000,16,1,52,Improve by 20%,11.2,12,100,Improve by 30%,8.4
emirates flights,27100,3,2,12,Improve by 30%,2.1,3,100,Improve by 30%,2.1
fly emirates,22200,8,2,5,Improve by 30%,5.6,3,4,Improve by 30%,2.1
air arabia flights,22200,9,1,11,Improve by 30%,6.3,7,8,Improve by 30%,4.9
pia airline,12100,16,9,3,Improve by 30%,11.2,16,3,Improve by 30%,11.2
pia flights,5400,24,,3,Improve by 30%,16.8,27,4,Improve by 30%,18.9
air india flight,4400,2,1,12,Improve by 30%,1.4,2,12,Improve by 30%,1.4
cebu pacific air,2900,19,1,100,Improve by 30%,13.3,18,100,Improve by 30%,12.6
air blue airline,1900,2,,4,Improve by 30%,1.4,2,4,Improve by 30%,1.4
air arabia airline,1000,2,,3,Improve by 30%,1.4,2,5,Improve by 30%,1.4
emirates flight booking,49500,6,4,5,Beat Tajawal,4,8,5,Beat Tajawal,4
emirates airlines booking,27100,6,6,5,Beat Tajawal,4,7,5,Beat Tajawal,4
etihad airways booking,27100,7,4,9,Improve by 30%,4.9,7,11,Improve by 30%,4.9
flydubai online booking,27100,8,3,9,Improve by 30%,5.6,7,11,Improve by 30%,4.9
flydubai booking,14800,5,,12,Improve by 30%,3.5,7,13,Improve by 30%,4.9
emirates booking,9900,5,8,8,Improve by 30%,3.5,5,5,Improve by 30%,3.5
air india booking,9900,2,1,5,Improve by 30%,1.4,2,4,Improve by 30%,1.4
air india express online booking,9900,4,1,8,Improve by 30%,2.8,4,8,Improve by 30%,2.8
air india ticket booking,8100,3,1,7,Improve by 30%,2.1,5,8,Improve by 30%,3.5
pia flight booking,8100,20,8,3,Improve by 30%,14,15,3,Improve by 30%,10.5
emirates online booking,5400,10,6,6,Beat Tajawal,5,9,6,Beat Tajawal,5
air india online booking,4400,3,1,7,Improve by 30%,2.1,2,11,Improve by 30%,1.4
air india express booking,3600,4,1,8,Improve by 30%,2.8,4,8,Improve by 30%,2.8
air blue booking,3600,4,3,2,Beat Tajawal,1,4,2,Beat Tajawal,1
air india express ticket booking,3600,4,1,8,Improve by 30%,2.8,4,8,Improve by 30%,2.8
emirates airlines ticket booking,2900,8,,5,Beat Tajawal,4,7,5,Beat Tajawal,4
emirates airlines online booking,2400,9,4,6,Beat Tajawal,5,9,6,Beat Tajawal,5
etihad airways booking online,1900,7,,7,Improve by 30%,4.9,7,11,Improve by 30%,4.9
cebu pacific online booking,1900,6,1,4,Beat Tajawal,3,6,5,Beat Tajawal,4
etihad airways online booking,1900,7,3,7,Improve by 30%,4.9,7,8,Improve by 30%,4.9
air india flight booking,1900,2,1,14,Improve by 30%,1.4,2,14,Improve by 30%,1.4
air blue flight booking,1600,2,,3,Improve by 30%,1.4,2,3,Improve by 30%,1.4
cebu pacific booking,1600,5,1,4,Beat Tajawal,3,5,4,Beat Tajawal,3
air india express flight booking,1300,4,,8,Improve by 30%,2.8,4,8,Improve by 30%,2.8
pia airlines booking,880,18,,4,Improve by 30%,12.6,18,3,Improve by 30%,12.6
flydubai flight booking,880,7,,11,Improve by 30%,4.9,9,13,Improve by 30%,6.3
cheap flights,110000,2,1,,Improve by 50%,0,2,,Improve by 50%,0
flights,33100,1,,,Maintain,1,1,,Maintain,1
flight tickets,33100,1,1,,Maintain,1,1,,Maintain,1
booking flight,14800,1,,,Maintain,1,1,,Maintain,1
booking flights,14800,1,1,,Maintain,1,1,,Maintain,1
flight booking,14800,1,1,,Maintain,1,1,,Maintain,1
air ticket,12100,1,1,,Maintain,1,1,,Maintain,1
cheap tickets,6600,2,2,,Improve by 50%,0,2,,Improve by 50%,0
cheap air tickets,5400,1,,,Maintain,1,1,,Maintain,1
cheap flights booking,2400,1,,,Maintain,1,1,,Maintain,1
book cheap flights,2400,2,,,Improve by 50%,0,2,,Improve by 50%,0
cheap flight tickets booking,590,1,,,Maintain,1,1,,Maintain,1
